Date,Price,Open,High,Low,Vol,Change %
1/28/2022,"36,377.00","36,828.00","37,641.00","34,301.00",811.50K,-1.22%
1/27/2022,"36,828.00","40,890.00","41,161.00","36,828.00",2.52M,-9.93%
1/26/2022,"40,890.00","43,147.00","44,140.00","40,710.00",672.91K,-5.23%
1/25/2022,"43,147.00","41,973.00","43,327.00","41,522.00",430.11K,2.57%
1/24/2022,"42,064.00","44,952.00","45,313.00","42,064.00",1.12M,-6.24%
1/21/2022,"44,862.00","44,411.00","46,306.00","43,327.00",792.32K,0.81%
1/20/2022,"44,501.00","44,952.00","46,035.00","42,876.00",633.93K,0.82%
1/19/2022,"44,140.00","41,973.00","44,411.00","41,071.00",564.56K,5.16%
1/18/2022,"41,973.00","40,619.00","42,876.00","40,439.00",884.94K,3.33%
1/17/2022,"40,619.00","44,862.00","47,389.00","40,619.00",1.31M,-9.09%
1/14/2022,"44,681.00","40,619.00","44,681.00","39,356.00",1.06M,10.00%
1/13/2022,"40,619.00","45,133.00","46,035.00","40,619.00",1.40M,-10.00%
1/12/2022,"45,133.00","45,855.00","47,841.00","43,237.00",1.41M,-1.57%
1/11/2022,"45,855.00","44,230.00","47,389.00","43,147.00",1.37M,5.83%
1/10/2022,"43,327.00","40,619.00","44,320.00","40,349.00",2.28M,7.38%
1/7/2022,"40,349.00","39,265.00","40,800.00","38,453.00",1.19M,2.76%
1/6/2022,"39,265.00","40,168.00","40,168.00","39,175.00",584.48K,-2.69%
1/5/2022,"40,349.00","40,168.00","41,522.00","39,988.00",789.60K,0.45%
1/4/2022,"40,168.00","37,911.00","40,619.00","37,731.00",1.63M,7.49%
12/31/2021,"37,370.00","38,092.00","38,634.00","37,189.00",230.14K,-1.90%
12/30/2021,"38,092.00","37,460.00","38,453.00","37,460.00",300.60K,1.69%
12/29/2021,"37,460.00","38,273.00","38,273.00","37,009.00",286.44K,-0.95%
12/28/2021,"37,821.00","37,460.00","38,814.00","36,738.00",522.89K,1.21%
12/27/2021,"37,370.00","36,287.00","37,460.00","36,106.00",262.77K,3.24%
12/24/2021,"36,196.00","36,287.00","36,919.00","36,106.00",415.03K,-0.25%
12/23/2021,"36,287.00","37,280.00","37,460.00","35,655.00",483.59K,-1.95%
12/22/2021,"37,009.00","37,731.00","38,363.00","36,828.00",366.60K,-1.91%
12/21/2021,"37,731.00","37,099.00","38,273.00","36,648.00",399.87K,1.95%
